esto condujo a que tuviera ciertas ideas equivocadas sobre el cuerpo humano,PASADO ESTE CUERPO HUMANO CONDUCIR QUE TENER IDEA-PL EQUIVOCADO CIERTO 
nunca he sabido y no voy a aprender ahora,YO NUNCA HABER YO SABER IR NO APRENDER AHORA 
siempre sostuvo que su trabajo se limitaba a mover un lápiz,PASADO SIEMPRE TRABAJO SU ÉL MOVER LIMITAR LÁPIZ SOSTENER QUE 
ejerció como maestra en escuelas de pueblo y en aulas para personas adultas,PASADO PUEBLO AULA-PL PERSONA-PL ADULTO EJERCER COMO MAESTRO ESCUELA-PL 
literalmente significa el espíritu de la casa en el folclore eslavo,LITERALMENTE FOLCLORE ESLAVO SIGNIFICAR ESPÍRITU CASA 
continúa su labor allí y varios años más tarde retorna a buenos aires,LABOR SU ALLÍ AÑO-PL VARIOS MÁS TARDE RETORNAR CONTINUAR AIRE-PL BUEN 
malformaciones reportadas en dos familias son consistentes con el síndrome de parametadionatrimetadiona fetal,MALFORMACIÓN-PL REPORTADO FAMILIA-PL DOS CONSISTENTE SÍNDROME PARAMETADIONATRIMETADIONA FETAL 
fue ministro de estado durante toda la administración de el presidente patricio aylwin,PASADO MINISTRO ESTADO TODO ADMINISTRACIÓN PRESIDENTE AYLWIN-NP PATRICIO 
los trabajadores que no efectúen sus tareas serán desalojados de el ámbito ferroviario,TRABAJADOR-PL QUE TAREA-PL SU DESALOJAR EFECTUAR NO ÁMBITO FERROVIARIO 
estos son los próximos compradores quienes van a hacer los adornos de el parque,ESTE COMPRADOR-PL PRÓXIMO QUIEN ADORNO-PL HACER IR PARQUE 
fue producido por fleischer studios y distribuido por paramount pictures,PARAMOUNT-NP PICTURES PRODUCIR FLEISCHER-NP STUDIOS DISTRIBUIR 
el mismo almoina describió este texto como crudo amargo y brutal,PASADO ALMOINA MISMO TEXTO ESTE COMO CRUDO AMARGO BRUTAL DESCRIBIR 
se define como un partido autonomista,ÉL PARTIDO AUTONOMISTA DEFINIR COMO 
completó una licenciatura en ciencias en actividad física y deportes,PASADO ACTIVIDAD FÍSICO DEPORTE-PL COMPLETAR LICENCIATURA CIENCIA-PL 
como esas cajas flotantes,COMO CAJA-PL FLOTANTE ESE 
bundesliga con el eintracht frankfurt bayer leverkusen y vfl bochum,BUNDESLIGA EINTRACHT FRANKFURT BAYER LEVERKUSEN VFL-NP BOCHUM 
asistió a un colegio privado para niñas de chicago,PASADO NIÑA-PL CHICAGO ASISTIR COLEGIO PRIVADO 
el suelo es explotado para la agricultura,SUELO EXPLOTAR AGRICULTURA 
su ascendencia es cubana española e indígenahavana creció en diversos lugares de california,PASADO ASCENDENCIA SU CUBANO ESPAÑOL INDÍGENAHAVANO CALIFORNIA-NP CRECER LUGAR-PL DIVERSO 
hasta la actualidad la banda está trabajando y lanzando covers,ACTUALIDAD BANDA COVER-PL TRABAJAR LANZAR 
es el autor de el himno de la virgen de los llanos,AUTOR HIMNO VIRGEN LLANO-PL 
es nombrado consejero de estado,CONSEJERO NOMBRAR ESTADO 
acompañó su cuerpo hasta roma donde ofreció juegos para honrar su memoria,PASADO JUEGO-PL MEMORIA SU ACOMPAÑAR CUERPO SU ROMA DONDE OFRECER HONRAR 
como dato curioso estuvo en los inicios de los tres canales privados de montevideo,PASADO COMO DATO CURIOSO INICIO-PL CANAL-PL TRES PRIVADO MONTEVIDEO 
los escaños se asignan utilizando la cuota hare,ESCAÑO-PL ÉL CUOTA HACER UTILIZAR ASIGNAR 
con base en este análisis realizan las acciones pertinentes,BASE ANÁLISIS ESTE ACCIÓN-PL PERTINENTE REALIZAR 
la esfera de acción de scexe se limita a el equipo local,ESFERA ACCIÓN SCEXE ÉL LIMITAR EQUIPO LOCAL 
yvette interpretada por dominique blanc mujer a el servicio de eliane,YVETTE INTERPRETADO DOMINIQUE BLANC MUJER SERVICIO ELIANE 
ambos estaban en la sexta fila,AMBOS FILA SEXTO 
seguramente el libro de vitruvio habría sido de gran ayuda en esto,SEGURAMENTE LIBRO VITRUVIO AYUDA GRAN ESTE 
el rey lo prometió y salieron de la casita juntos,PASADO REY ÉL PROMETER SALIR CASITA JUNTO 
fue jefe de inspectores de educación y consejero de el gobierno para asuntos educativos,PASADO JEFE INSPECTOR-PL EDUCACIÓN CONSEJERO GOBIERNO ASUNTO-PL EDUCATIVO 
las carpas son lujosas de materiales utilizados en la tecnología aeroespacial,CARPA-PL LUJOSO MATERIAL-PL UTILIZADO TECNOLOGÍA AEROESPACIAL 
está fue la única temporada que presentó a joyce islas,PASADO TEMPORADA ÚNICO QUE ISLA-PL PRESENTAR JOYCE 
trabajó de restaurador en el museo de el prado,PASADO MUSEO PRADO TRABAJAR RESTAURADOR 
la voz presenta el texto en diversas ocasiones en declamación variada,VOZ DECLAMACIÓN VARIADO PRESENTAR TEXTO OCASIÓN-PL DIVERSO 
de que salgamos despedidos,NOSOTROS QUE SALIR DESPEDIDO 
mari paz va de vacaciones a finlandia,PAZ MARI FINLANDIA IR VACACIONES-PL 
la banda sonora fue compuesta por randy edelman,BANDA SONORO COMPUESTO RANDY-NP EDELMAN 
lleva siempre una toalla,TOALLA SIEMPRE LLEVAR 
pero masud ibn muhammad se dirigió a bagdad,PASADO MASUD IBN-NP MUHAMMAD ÉL DIRIGIR BAGDAD 
por lo que no mans land es un resumen de varias historias,QUE MAN LAND NO RESUMEN HISTORIA-PL VARIOS 
su servicio con el rey no parece haber disminuido su deseo de escribir,SERVICIO SU REY DESEO SU ESCRIBIR PARECER DISMINUIR NO 
las autoridades judiciales solo ejercen funciones jurisdiccionales casi exclusivamente,AUTORIDAD-PL JUDICIAL SOLO FUNCIÓN-PL JURISDICCIONAL CASI EXCLUSIVAMENTE EJERCER 
está ubicado en una de las regiones más lluviosas con más biodiversidad de el mundo,UBICADO REGIÓN-PL LLUVIOSO MÁS BIODIVERSIDAD MÁS MUNDO 
se encuentra en china y taiwán,ÉL TAIWÁN-PL ENCONTRAR CHINO 
gareth se crio en sídney melbourne launceston y varias ciudades europeas,GARETH ÉL MELBOURNE LAUNCESTON CIUDAD-PL EUROPEO VARIOS CRIEAR SÍDNEY 
es uno de los pocos diseñadores de la primera generación que no es arquitecto,UNO DISEÑADOR-PL POCO GENERACIÓN PRIMERO QUE NO ARQUITECTO 
aborigen de brisbane queensland hija de el botánico desmond herbert,ABORIGEN BRISBANE QUEENSLAND HIJA BOTÁNICO DESMOND HERBERT 
el calendario islámico es lunar,CALENDARIO ISLÁMICO LUNAR 
lleva en honor el nombre de el paladín unionista general francisco morazán,NOMBRE PALADÍN UNIONISTA FRANCISCO GENERAL MORAZÁN LLEVAR HONOR 
cursó en la universidad de valencia estudios de filología especializando se en literatura italiana,PASADO LITERATURA ITALIANO ESTUDIO-PL FILOLOGÍA ESPECIALIZAR ÉL CURSAR UNIVERSIDAD VALENCIA 
es dulce y se suele beber frío,DULCE ÉL FRÍO BEBER SOLER 
entre los quince ocupantes de el avión se registraron trece fallecidos,PASADO OCUPANTE-PL QUINCE AVIÓN ÉL FALLECIDO-PL TRECE REGISTRAR 
ese mismo año dirigió y escribió el cortometraje arte barroco,PASADO ESE AÑO MISMO CORTOMETRAJE ARTE BARROCO DIRIGIR ESCRIBIR 
estudió la carrera en valladolid y madrid,PASADO MADRID-NP ESTUDIAR CARRERA VALLADOLID 
recibió el primer premio,PASADO PREMIO PRIMERO RECIBIR 
alshehbaz está casado y tiene dos hijos,ALSHEHBAZ-PL CASADO HIJO-PL DOS TENER 
esta ría tiene numerosos brazos de agua en forma de esteros y caños,RÍA ESTE FORMA ESTERO-PL CAÑO-PL TENER BRAZO-PL NUMEROSO AGUA 
de la misma manera el enlace bf queda intacto en este tipo de reacciones,MANERA MISMO ENLACE BF REACCIÓN-PL QUEDAR INTACTO TIPO ESTE 
el resto está parcialmente obstruido o reservado para la investigación arqueológica y antropológica,RESTO OBSTRUIDO PARCIALMENTE RESERVADO INVESTIGACIÓN ARQUEOLÓGICO ANTROPOLÓGICO 
puede desarrollar trombocitopenia pronto,TROMBOCITOPENIA PRONTO DESARROLLAR PODER 
tiene su sede en la ciudad de den helder,DAR HELDER TENER SEDE SU CIUDAD 
no obstante su ejemplo afectó la preocupación de hartmann por el detalle,PASADO NO OBSTANTE EJEMPLO SU DETALLE AFECTAR PREOCUPACIÓN HARTMANN 
los juegos se disputaron en la ciudad de pinsk,PASADO JUEGO-PL ÉL PINSK DISPUTAR CIUDAD 
en bagdad yasin vivió en libertad durante a el menos un año,PASADO BAGDAD YASIN AÑO VIVIR LIBERTAD MENOS 
está orquestada para flauta dos oboes fagot dos trompas cuerdas y bajo continuo,ORQUESTADO FLAUTA OBO-PL DOS FAGOT TROMPA-PL DOS CUERDA-PL BAJO CONTINUO 
desde entonces el comercio entre las dos naciones se ha incrementado dramáticamente,ENTONCES COMERCIO NACIÓN-PL DOS ÉL INCREMENTAR DRAMÁTICAMENTE 
la producción escrita de alhakim se inicia a el filo de los años veinte,PRODUCCIÓN ESCRITO ALHAKIM ÉL INICIAR FILO AÑO VEINTE 
la cola se oscurece hacia la punta,COLA ÉL OSCURECER PUNTA 
se jugó todos contra todos a una rueda,PASADO ÉL RUEDA JUGAR TODO TODO 
las tierras de budge limitan con la margen sur de el riachuelo,TIERRA-PL BUDGE RIACHUELO LIMITAR MARGEN SUR 
las ranunculáceas son un grupo de angiospermas que se incluyen en el clado eudicotiledóneas,RANUNCULÁCEA-PL GRUPO ANGIOSPERMA-PL QUE ÉL INCLUIR CLADO EUDICOTILEDÓNEO 
esto redujo enormemente la seguridad territorial de las provincias situadas a el sur,PASADO ESTE SUR REDUCIR SEGURIDAD TERRITORIAL ENORMEMENTE PROVINCIA-PL SITUADO 
la urbanización de la fresneda es de reciente construcción,URBANIZACIÓN FRESNEDA CONSTRUCCIÓN RECIENTE 
su duración es de apenas cinco minutos,DURACIÓN SU MINUTO-PL APENAS CINCO 
compone obras seculares y sagradas para coro mixto coro masculino e infantil,CORO MIXTO MASCULINO INFANTIL COMPONER OBRA-PL SECULAR SAGRADO CORO 
estas fueron las verdaderas primeras películas sonoras exhibidas por un estudio de hollywood,PASADO ESTE VERDADERO PRIMERO PELÍCULA-PL SONORO EXHIBIDO ESTUDIO HOLLYWOOD 
impartió clases de química orgánica en la escuela de química de la universidad motolinía,PASADO ESCUELA QUÍMICA UNIVERSIDAD MOTOLINÍO IMPARTIR CLASE-PL QUÍMICA ORGÁNICO 
fue alumno en st,PASADO ALUMNO ST 
entre estos treinta encuentros contarían todos los cinco de el playoff de la conference premier,ESTE ENCUENTRO-PL TREINTA CONFERENCE PREMIER CONTAR TODO CINCO PLAYOFF 
el consenso de el sitio es que la película es sensible pero no perspicaz,CONSENSO SITIO QUE PELÍCULA SENSIBLE NO PERSPICAZ 
esto es considerado un gran logro aunque posiblemente se deba a las comunicaciones modernas,ESTE LOGRO GRAN AUNQUE POSIBLEMENTE ÉL DEBER CONSIDERAR COMUNICACIÓN-PL MODERNO 
ocupó algunos cargos en la corte y se convirtió en historiador oficial,PASADO HISTORIADOR OFICIAL CARGO-PL ALGUNO CORTE ÉL CONVERTIR OCUPAR 
su rango cronoestratigráfico abarcaba el ordovícico,RANGO CRONOESTRATIGRÁFICO SU ABARCAR ORDOVÍCICO 
sin embargo murió en el mar antes de llegar a cartago,PASADO EMBARGO CARTAGO MORIR MAR ANTES LLEGAR 
finalmente almirante brown y arsenal mantuvieron la categoría y tigre descendió,PASADO ALMIRANTE BROWN FINALMENTE ARSENAL CATEGORÍA TIGRE DESCENDER MANTENER 
pero esto se interpretaba como torpeza de parte de los suabos,ESTE ÉL SUABO-PL INTERPRETAR COMO TORPEZA PARTE 
para otras especies no está documentado el recorrido diario,ESPECIE-PL OTRO NO DOCUMENTADO RECORRIDO DIARIO 
la paz de los muertos,PAZ MUERTO-PL 
fue diputado de la asamblea nacional así como ministro de comunicaciones,PASADO DIPUTADO ASAMBLEA NACIONAL ASÍ COMO MINISTRO COMUNICACIÓN-PL 
pintores dibujantes y escultores populares de cuba,PINTOR-PL DIBUJANTE ESCULTOR-PL POPULAR CUBA 
en una entrevista con la revista kerrang,ENTREVISTA REVISTA KERRANG 
los sistemas automatizados se colocan en el área de autoservicio,SISTEMA-PL AUTOMATIZADO ÉL AUTOSERVICIO COLOCAR ÁREA 
por dicha acción fue nombrado con el apodo de el caballero de el gol,ACCIÓN DICHO CABALLERO GOL NOMBRAR APODO 
simultáneamente impulsó el expresionismo alemán de un modo especialmente destacado,PASADO SIMULTÁNEAMENTE EXPRESIONISMO ALEMÁN IMPULSAR MODO DESTACADO ESPECIALMENTE 
tras cinco años en la isla retorna a españa como corresponsal de el mismo periódico,AÑO-PL CINCO ISLA CORRESPONSAL PERIÓDICO MISMO RETORNAR ESPAÑA-NP COMO 
corren ahora muchas torrenteras,TORRENTERA-PL AHORA MUCHO CORRER 
los festejos por la inauguración duraron tres días consecutivos,PASADO FESTEJO-PL INAUGURACIÓN DÍA-PL TRES CONSECUTIVO DURAR 
los cadetes asumen que esto significa robar el trofeo e intentan hacer lo,CADETE-PL TROFEO HACER INTENTAR ÉL ASUMIR QUE ESTE ROBAR SIGNIFICAR 
juárez hidalgo mex,JUÁREZ MEX HIDALGO 
a cambio ella debía dejar el molino cómo se lo dio el monasterio,PASADO CAMBIO ÉL MOLINO ÉL ÉL DAR MONASTERIO DEJAR DEBER CÓMO 
la situación se está volviendo una fuente de vergüenza para el país,SITUACIÓN ÉL PAÍS VOLVER FUENTE VERGÜENZA 
en bejucos forma una agrupación junto amigos donde tocan en eventos de el lugar,BEJUCO-PL LUGAR FORMAR AGRUPACIÓN JUNTO AMIGO DONDE TOCAR EVENTO-PL 
bueno voy a dar orden de que icen las escandalosas,YO BUEN ORDEN QUE IR ESCANDALOSO DAR IR 
ya no se utiliza para vuelos de pasajeros,YA ÉL PASAJERO-PL UTILIZAR NO VUELO-PL 
ha trabajado de vendedor de seguros y actualmente trabaja como taxista,SEGURO-PL ACTUALMENTE TRABAJAR COMO TAXISTA TRABAJAR VENDEDOR 
consiguió proclamar se definitivamente campeón en el circuito de sepang,PASADO SEPANG PROCLAMAR CONSEGUIR ÉL CAMPEÓN DEFINITIVAMENTE CIRCUITO 
su costa alberga algunas cuevas antiguamente empleadas,COSTA SU CUEVA-PL ALGUNO EMPLEADA ANTIGUAMENTE ALBERGAR 
tan sólo hynde y chambers asistieron a la ceremonia,PASADO TANTO SÓLO HYNDE CHAMBERS ASISTIR CEREMONIA 
fue protector de las ciencias y de la cultura,PASADO PROTECTOR CIENCIA-PL CULTURA 
come invertebrados de cáscara dura,INVERTEBRADO-PL COME CÁSCARA DURO 
inició la carrera de derecho aunque abandonó los estudios el segundo año de carrera,PASADO ESTUDIO-PL AÑO SEGUNDO CARRERA INICIAR CARRERA DERECHO AUNQUE ABANDONAR 
en la actualidad el foso es de difícil acceso por los derrumbes,ACTUALIDAD FOSO ACCESO DIFÍCIL DERRUMBE-PL 
la novela no pretende tanto causar diversión como hacer una sátira cáustica,NOVELA DIVERSIÓN COMO HACER SÁTIRA CÁUSTICO PRETENDER NO TANTO CAUSAR 
dueño de la plaza conquistó el territorio circundante,PASADO DUEÑO PLAZA TERRITORIO CIRCUNDANTE CONQUISTAR 
lópez portillo leal fue uno de sus principales críticos,PASADO LÓPEZ PORTILLO LEAL UNO CRÍTICO-PL PRINCIPAL SU 
las flores están fuerte y dulcemente perfumadas generalmente son solitarias,FLOR-PL FUERTE PERFUMADO DULCEMENTE GENERALMENTE SOLITARIO 
galiana lleva varios años impartiendo clases de interpretación como profesor en aula de el actor,GALIANA PROFESOR AULA ACTOR LLEVAR AÑO-PL VARIOS IMPARTIR CLASE-PL INTERPRETACIÓN COMO 
siguiendo sus deseos sus hijos tomaron el relevo,PASADO DESEO-PL SU HIJO-PL SU TOMAR RELEVO SEGUIR 
las campanadas fueron las más seguidas de la historia de los canales privados,PASADO CAMPANADA-PL SEGUIDO MÁS HISTORIA CANAL-PL PRIVADO 
y esta institución es su representante,INSTITUCIÓN ESTE REPRESENTANTE SU 
es grande y de color negro,GRANDE COLOR NEGRO 
su industria se especializa principalmente en la producción de armas y maquinaria,INDUSTRIA SU ÉL ARMA-PL MAQUINARIA ESPECIALIZAR PRINCIPALMENTE PRODUCCIÓN 
conceptos avanzados como el filtro de kalman se utilizan para la mezcla de descripciones,CONCEPTO-PL AVANZADO COMO FILTRO KALMAN ÉL DESCRIPCIÓN-PL UTILIZAR MEZCLA 
las autoridades coloniales españolas lo apresaron y deportaron a españa,PASADO AUTORIDAD-PL COLONIAL ESPAÑOL ÉL APRESAR DEPORTAR ESPAÑA-NP 
es un asunto que no tiene ninguna trascendencia,ASUNTO QUE TRASCENDENCIA NINGUNO TENER NO 
singapore island bank antiguamente era conocido como bank of singapore,SINGAPORE ISLAND BANK ANTIGUAMENTE BANK OF SINGAPORE CONOCER COMO 
black alien destaca por sus rimas ingeniosas e imprevisibles,BLACK ALIEN DESTACAR RIMA-PL INGENIOSO SU IMPREVISIBLE 
la elección representaba un compromiso entre estas dos áreas de la competencia,ELECCIÓN COMPETENCIA REPRESENTAR COMPROMISO ESTE ÁREA-PL DOS 
su fachada es sobria de ladrillo sobre un zócalo de piedra caliza,FACHADA SU SOBRIO LADRILLO ZÓCALO PIEDRA CALIZO 
pitts sanborn de el boston globe la denominó la joven genio de el piano,PASADO PITT SANBORN BOSTON GLOBE ÉL GENIO JOVEN DENOMINAR PIANO 
un arrecife de coral se extiende desde la isla,ARRECIFE CORAL ÉL EXTENDER ISLA 
para ablandar el material puede hacer se un recocido,MATERIAL HACER PODER ÉL RECOCIDO ABLANDAR 
gracias a la última de ellas fue llevada a hollywood por warner bros,GRACIAS ÚLTIMO ÉL WARNER BRO LLEVADO HOLLYWOOD 
por último china invadió el norte de vietnam,PASADO ÚLTIMO CHINO NORTE INVADIR VIETNAM-NP 
a su regreso fijó su residencia en madrid,PASADO REGRESO SU RESIDENCIA SU FIJAR MADRID-NP 
cada posición social tiene algo sagrado acerca de ella,POSICIÓN SOCIAL CADA TENER ALGO SAGRADO ACERCA ÉL 
poussin es autor de un tratado la expresión de las pasiones,POUSSIN AUTOR TRATADO EXPRESIÓN PASIÓN-PL 
dispone de atención comercial toda la semana y de máquinas expendedoras de servicios,SEMANA MÁQUINA-PL EXPENDEDOR SERVICIO-PL DISPONER ATENCIÓN COMERCIAL TODO 
la avenida tiene un kilómetro de largo y hoy está completamente asfaltada,HOY AVENIDA KILÓMETRO TENER LARGO ASFALTADO COMPLETAMENTE 
fue examinado por john mill y johann jakob wettstein,JOHANN JAKOB WETTSTEIN EXAMINAR JOHN-NP MILL 
